"d_date","t_count"
"2015-03-02",1169
"2015-03-03",1877
"2015-03-04",1586
"2015-03-05",817
"2015-03-06",1025
"2015-03-07",647
"2015-03-08",419
"2015-03-09",1004
"2015-03-10",1274
"2015-03-11",1268
"2015-03-12",1316
"2015-03-13",1108
"2015-03-14",482
"2015-03-15",440
"2015-03-16",1093
"2015-03-17",1750
"2015-03-18",1941
"2015-03-19",1476
"2015-03-20",990
"2015-03-21",369
"2015-03-22",337
"2015-03-23",1365
"2015-03-24",1589
"2015-03-25",1785
"2015-03-26",1713
"2015-03-27",952
"2015-03-28",379
"2015-03-29",251
"2015-03-30",910
"2015-03-31",1067
"2015-04-01",936
"2015-04-02",1208
"2015-04-03",645
"2015-04-04",308
"2015-04-05",335
"2015-04-06",842
"2015-04-07",1044
"2015-04-08",1141
"2015-04-09",1223
"2015-04-10",952
"2015-04-11",354
"2015-04-12",344
"2015-04-13",1042
"2015-04-14",1902
"2015-04-15",2146
"2015-04-16",1641
"2015-04-17",1086
"2015-04-18",410
"2015-04-19",310
"2015-04-20",1048
"2015-04-21",1394
"2015-04-22",2351
"2015-04-23",1534
"2015-04-24",1040
"2015-04-25",407
"2015-04-26",250
"2015-04-27",1120
"2015-04-28",1472
"2015-04-29",1795
"2015-04-30",1810
"2015-05-01",1158
"2015-05-02",446
"2015-05-03",369
"2015-05-04",1033
"2015-05-05",1515
"2015-05-06",1381
"2015-05-07",1616
"2015-05-08",1334
"2015-05-09",419
"2015-05-10",413
"2015-05-11",1039
"2015-05-12",1639
"2015-05-13",2051
"2015-05-14",1688
"2015-05-15",1239
"2015-05-16",728
"2015-05-17",565
"2015-05-18",684
"2015-05-19",984
"2015-05-20",909
"2015-05-21",797
"2015-05-22",551
"2015-05-23",189
"2015-05-24",177
"2015-05-25",455
"2015-05-26",529
"2015-05-27",660
"2015-05-28",609
"2015-05-29",695
"2015-05-30",425
"2015-05-31",410
"2015-06-01",856
"2015-06-02",1594
"2015-06-03",1578
"2015-06-04",1398
"2015-06-05",1083
"2015-06-06",520
"2015-06-07",315
"2015-06-08",1130
"2015-06-09",1349
"2015-06-10",1811
"2015-06-11",1668
"2015-06-12",1242
"2015-06-13",459
"2015-06-14",494
"2015-06-15",1202
"2015-06-16",1589
"2015-06-17",1645
"2015-06-18",1704
"2015-06-19",1159
"2015-06-20",443
"2015-06-21",461
"2015-06-22",999
"2015-06-23",1639
"2015-06-24",1977
"2015-06-25",2129
"2015-06-26",1472
"2015-06-27",446
"2015-06-28",333
"2015-06-29",1069
"2015-06-30",1329
"2015-07-01",1226
"2015-07-02",1098
"2015-07-03",451
"2015-07-04",877
"2015-07-05",520
"2015-07-06",931
"2015-07-07",1217
"2015-07-08",1915
"2015-07-09",2114
"2015-07-10",1585
"2015-07-11",362
"2015-07-12",365
"2015-07-13",1376
"2015-07-14",2350
"2015-07-15",2055
"2015-07-16",2088
"2015-07-17",1337
"2015-07-18",531
"2015-07-19",355
"2015-07-20",1272
"2015-07-21",1609
"2015-07-22",1916
"2015-07-23",2346
"2015-07-24",1336
"2015-07-25",545
"2015-07-26",549
"2015-07-27",1429
"2015-07-28",2121
"2015-07-29",1967
"2015-07-30",1726
"2015-07-31",1234
"2015-08-01",425
"2015-08-02",385
"2015-08-03",1652
"2015-08-04",1604
"2015-08-05",1551
"2015-08-06",2187
"2015-08-07",1107
"2015-08-08",502
"2015-08-09",433
"2015-08-10",1006
"2015-08-11",1200
"2015-08-12",1336
"2015-08-13",1409
"2015-08-14",1407
"2015-08-15",385
"2015-08-16",365
"2015-08-17",1051
"2015-08-18",1303
"2015-08-19",1494
"2015-08-20",1264
"2015-08-21",1162
"2015-08-22",438
"2015-08-23",313
"2015-08-24",1112
"2015-08-25",1484
"2015-08-26",1687
"2015-08-27",1347
"2015-08-28",1205
"2015-08-29",560
"2015-08-30",402
"2015-08-31",1156
"2015-09-01",1146
"2015-09-02",1390
"2015-09-03",1430
"2015-09-04",1052
"2015-09-05",455
"2015-09-06",266
"2015-09-07",743
"2015-09-08",1271
"2015-09-09",1693
"2015-09-10",2037
"2015-09-11",1992
"2015-09-12",768
"2015-09-13",666
"2015-09-14",1410
"2015-09-15",1630
"2015-09-16",2409
"2015-09-17",2425
"2015-09-18",1971
"2015-09-19",652
"2015-09-20",411
"2015-09-21",1352
"2015-09-22",1896
"2015-09-23",1525
"2015-09-24",2464
"2015-09-25",1401
"2015-09-26",630
"2015-09-27",431
"2015-09-28",1414
"2015-09-29",2222
"2015-09-30",2133
"2015-10-01",1938
"2015-10-02",1565
